"TypeID","StationID","Type","High","Low","Average"
18,60001096,"Buy",4,4,4
18,60003760,"Buy",33.49,0.1,17.2555054789556
18,60003760,"Sell",23000,39.99,115.396088289569
18,60004588,"Buy",12.1,12.1,12.1
18,60004588,"Sell",35,34.98,34.9998566910718
18,60005686,"Buy",7.02,1,5.04360122182154
18,60005686,"Sell",38.37,33,36.6441125098554
18,60006499,"Buy",0.03,0.02,0.0209091024794861
18,60006499,"Sell",30,30,30
18,60008494,"Buy",29.08,29.07,29.0700580996312
18,60008494,"Sell",50,44.99,45.8856302308171
18,60011866,"Buy",31,1.01,13.1217421418508
18,60011866,"Sell",37,31.01,35.4055462790326
18,1033050967689,"Buy",0.02,0.02,0.02
34,60001096,"Buy",3.18,1.85,1.94380699283114
34,60001096,"Sell",4.28,3.6,3.88690909412947
34,60003760,"Buy",3.59,0.01,2.00459133078128
34,60003760,"Sell",55000,3.81,4.08798147208493
34,60004588,"Buy",3.26,0.05,1.88391762915453
34,60004588,"Sell",400,3.54,4.04349710326932
34,60005686,"Buy",3.46,1.45,2.79260389400454
34,60005686,"Sell",5,3.7,4.09777623942732
34,60006499,"Buy",1.07,0.01,0.184755634258533
34,60006526,"Buy",2.18,1.25,1.59172542121644
34,60006526,"Sell",4.66,3.97,4.27968105277536
34,60008494,"Buy",3.38,2.07,2.90086093741732
34,60008494,"Sell",3.91,3.39,3.59166636780868
34,60011866,"Buy",3.4,0.03,1.14409827492217
34,60011866,"Sell",185,3.44,3.96645848788238
34,60015131,"Sell",3.98,3.98,3.98
34,1033196707294,"Buy",0.41,0.41,0.41
35,60001096,"Buy",13.9,0.01,0.266688152739297
35,60001096,"Sell",21.2,17.88,19.2177364283934
35,60003760,"Buy",18.71,0.01,7.05854828138964
35,60003760,"Sell",758,19.31,20.4220916029345
35,60004588,"Buy",15,0.01,4.15842374494957
35,60004588,"Sell",29.99,16.21,21.5478986605139
35,60005686,"Buy",15.23,8.16,12.097102053587
35,60005686,"Sell",22.39,18.2,19.7100511747027
35,60006499,"Buy",0.01,0.01,0.01
35,60006526,"Buy",13.27,13.27,13.27
35,60006526,"Sell",17.76,16.56,16.929025213441
35,60008494,"Buy",15.06,10,13.1761755386319
35,60008494,"Sell",1555,16.19,16.6195100664049
35,60011866,"Buy",14.2,0.06,7.33471333549668
35,60011866,"Sell",185,14.21,19.116500966422
35,1033196707294,"Buy",0.03,0.03,0.03
36,60001096,"Buy",26.37,26.25,26.3668063750458
36,60001096,"Sell",81.2,79.2,80.4904636380556
36,60003760,"Buy",51.73,1,42.0434244919545
36,60003760,"Sell",6655,55.51,72.3370434757498
36,60004588,"Buy",52.14,0.05,7.10252413462797
36,60004588,"Sell",88.51,52.15,67.5983748806707
36,60005686,"Buy",55.15,33.14,46.3015345138117
36,60005686,"Sell",90,58,66.9896232555342
36,60006499,"Buy",0.01,0.01,0.01
36,60006526,"Buy",52.76,16.05,17.9012950998192
36,60006526,"Sell",76.76,67.76,74.1230122521207
36,60008494,"Buy",51.4,25.01,42.3355776584806
36,60008494,"Sell",6855,57,69.374046553144
36,60011866,"Buy",52.14,0.06,20.6895000335956
36,60011866,"Sell",70.75,55,68.1344981666309
36,1032717532381,"Buy",50,50,50
36,1033196707294,"Buy",0.03,0.03,0.03
37,60001096,"Buy",160.1,158.2,158.353857023056
37,60001096,"Sell",408.2,333.2,367.582539719099
37,60003760,"Buy",228.6,2.01,150.49761897466
37,60003760,"Sell",22400,248.4,327.410746010061
37,60004588,"Buy",195,0.05,6.8939599225331
37,60004588,"Sell",323.7,195.2,293.017823663178
37,60005686,"Buy",236.2,128.5,192.155035645009
37,60005686,"Sell",440.2,274.6,327.55642124559
37,60006499,"Buy",0.01,0.01,0.01
37,60006526,"Buy",162.7,30.11,46.4140783294543
37,60006526,"Sell",338.7,265,297.105694710167
37,60008494,"Buy",225.8,3.26,70.4584524960442
37,60008494,"Sell",306.9,253.9,263.582741559751
37,60011866,"Buy",235.8,0.05,48.0098512898009
37,60011866,"Sell",1998,282,420.409767985906
37,1033196707294,"Buy",0.03,0.03,0.03
38,60001096,"Buy",750,420.5,628.576949822691
38,60001096,"Sell",1128,1128,1128
38,60003760,"Buy",720,1.01,469.010057157959
38,60003760,"Sell",6616,758.2,837.895799005332
38,60004588,"Buy",725.9,0.06,1.24928751312889
38,60004588,"Sell",1248,869.5,1041.19658751439
38,60005686,"Buy",730.2,617.6,649.334309401479
38,60005686,"Sell",1049,885,921.350454426753
38,60006499,"Buy",0.01,0.01,0.01
38,60006526,"Buy",736.7,548.3,568.003039363096
38,60006526,"Sell",1208,1008,1105.41273361509
38,60008494,"Buy",738.5,450,644.63503176274
38,60008494,"Sell",950,849.8,899.321957960005
38,60011866,"Buy",750,0.06,93.1617214528963
38,60011866,"Sell",1401,842,1071.60461329819
38,1033196707294,"Buy",1.01,1.01,1.01
39,60001096,"Buy",1300,599,768.868865733017
39,60001096,"Sell",7000,7000,7000
39,60003760,"Buy",1551,1.01,828.101735437684
39,60003760,"Sell",14000000,1600,1898.38310779536
39,60004588,"Buy",1750,0.05,1.68784213088485
39,60004588,"Sell",2669,1977,2506.37140359351
39,60005686,"Buy",1499,958.4,1206.22512449396
39,60005686,"Sell",2599,1896,1991.38974273917
39,60006499,"Buy",0.01,0.01,0.01
39,60006526,"Buy",1228,891.1,987.345889509471
39,60008494,"Buy",1552,500.1,1048.31525535978
39,60008494,"Sell",3037,1879,2052.68020842588
39,60011866,"Buy",1711,0.06,38.4856618300578
39,60011866,"Sell",2600,1918,2179.89139456634
39,60015131,"Buy",1300,926.9,1173.62286768096
39,1033050967689,"Buy",1111,1111,1111
39,1033196707294,"Buy",622.2,1.77,1.78861234349093
40,60001096,"Buy",2800,1717,1827.45181925267
40,60003760,"Buy",2875,2.01,804.000031157793
40,60003760,"Sell",3150000,2948,3360.42330283389
40,60004588,"Buy",2950,0.06,1.83030328772949
40,60004588,"Sell",6259,3699,4628.06775677795
40,60005686,"Buy",3002,1245,1668.27765544988
40,60005686,"Sell",4103,3727,3853.25223398619
40,60006499,"Buy",0.01,0.01,0.01
40,60006526,"Buy",2328,1803,2216.41636246511
40,60008494,"Buy",3009,1600,2266.4070692454
40,60008494,"Sell",3550,3393,3469.62664186837
40,60011866,"Buy",3001,0.05,64.1187324343335
40,60011866,"Sell",75000,3350,3578.2282276957
40,1032717532381,"Buy",1301,1301,1301
40,1033196707294,"Buy",2.83,2.83,2.83
44,60001096,"Buy",51.11,51.11,51.11
44,60003760,"Buy",10200,4010,9999.94183936867
44,60003760,"Sell",13150,10970,11698.7769148581
44,60004588,"Buy",10000,7777,8718.36098170117
44,60004588,"Sell",13400,11510,12801.7111871957
44,60005686,"Buy",8111,8000,8073.99186889643
44,60005686,"Sell",13400,10000,11887.093821954
44,60008494,"Buy",9303,1000,7000.172809256
44,60008494,"Sell",12990,9800,11167.9967832861
44,60011866,"Buy",8511,14.1,5203.60438652257
44,60011866,"Sell",12200,10070,11351.4551477878
44,1033196707294,"Buy",11.51,11.51,11.51
202,60001096,"Buy",0.2,0.2,0.2
202,60003760,"Buy",255.9,52,197.2561039897
202,60003760,"Sell",636.3,299.4,464.648211388635
202,60004588,"Buy",182.3,0.02,0.195694455655935
202,60004588,"Sell",480,276,314.737843890818
202,60005686,"Buy",55,0.02,1.03478666380097
202,60005686,"Sell",384,383.3,383.427316709409
202,60006526,"Sell",520.7,520.7,520.7
202,60008494,"Buy",205,200.1,202.022286283156
202,60008494,"Sell",327.9,254,288.854658206598
202,60011866,"Buy",70.09,0.02,1.00187010888551
202,60011866,"Sell",400,295.2,317.386198433701
203,60001096,"Sell",420.2,420.2,420.2
203,60003760,"Buy",85.22,20,61.4084502914542
203,60003760,"Sell",400,160,242.139386255437
203,60004588,"Buy",97.1,0.02,0.138822843611191
203,60004588,"Sell",420,237.5,329.705262067244
203,60005686,"Buy",60.02,0.02,1.44628632784315
203,60005686,"Sell",189900,189900,189900
203,60006526,"Sell",560.7,560.7,560.7
203,60008494,"Buy",150,1.01,3.41029999410276
203,60008494,"Sell",480,193,266.447790905021
203,60011866,"Buy",45.04,0.02,0.155147254668201
203,60011866,"Sell",340,255.1,285.716673763303
203,60015131,"Sell",390,390,390
204,60001096,"Buy",0.2,0.2,0.2
204,60003760,"Buy",196.4,120.4,185.45424526055
204,60003760,"Sell",400,209.9,231.053892627343
204,60004588,"Buy",124.6,0.02,0.170670517444748
204,60004588,"Sell",412,268,363.147421782435
204,60005686,"Buy",121.4,0.02,3.64821591901844
204,60005686,"Sell",189900,370,6802.44198693482
204,60008494,"Buy",170,158,163.761452676091
204,60008494,"Sell",269.9,198.8,209.741859303962
204,60011866,"Buy",55.05,0.02,0.825412177391494
204,60011866,"Sell",259.9,240,256.423885174569
205,60001096,"Sell",320.2,280.2,302.127100705674
205,60003760,"Buy",140.2,14,86.4716497012718
205,60003760,"Sell",598.7,141,211.06683124266
205,60004588,"Buy",80.53,0.02,0.147224109647812
205,60004588,"Sell",220,199.5,203.627163175639
